sample	purity	ploidy	n.segs	substitution_rate	QC
P-0000584-T03-IM6_P-0000584-N01	0.572510575991404	4.57841751553877	83	0.726302004633827	FALSE
P-0003195-T02-IM6_P-0003195-N01	0.598433256686186	3.7603480588817	96	0.809807393100488	FALSE
P-0004835-T02-IM6_P-0004835-N01	0.820889518544932	2.61613823229772	92	0.858195915692913	TRUE
P-0009444-T02-IM6_P-0009444-N01	0.43241276458529	2.0185492044876	30	0.838240938750891	TRUE
P-0010326-T02-IM6_P-0010326-N01	0.554723958109577	2.5991104632267	58	0.842645193315316	TRUE
P-0010458-T03-IM6_P-0010458-N01	0.216724477560889	1.92242165899509	38	0.881686841077704	TRUE
P-0012081-T02-IM6_P-0012081-N01	0.147876428816441	2.4816471010204	27	0.761277610702064	TRUE
P-0012750-T02-IM6_P-0012750-N01	0.177585811158929	2.33823344995949	25	0.835093992090579	TRUE
P-0013182-T02-IM6_P-0013182-N01	0.223218582521507	3.46296250401971	34	0.747061882475299	FALSE
P-0014129-T02-IM6_P-0014129-N01	NA	2	23	0.890492359932088	FALSE
P-0014628-T01-IM6_P-0014628-N01	0.277377137936643	2.06593344159818	29	0.843680954485197	TRUE
P-0014696-T02-IM6_P-0014696-N02	0.649481427268937	3.31391032302493	49	0.75351127235035	TRUE
P-0014913-T01-IM6_P-0014913-N01	0.855061355706036	2.85770963657113	67	0.861472820967474	TRUE
P-0014995-T01-IM6_P-0014995-N01	0.275993199673854	2.04705765871881	36	0.820049880720017	TRUE
P-0015475-T01-IM6_P-0015475-N01	0.379758078621715	2.03896532860628	29	0.880993970811968	TRUE
P-0015475-T01-IM6_P-0015475-N02	0.37127218851982	2.10243957423178	26	0.775923089113095	TRUE
P-0015476-T01-IM6_P-0015476-N01	0.425486337371284	3.18462502824145	51	0.809039242219215	FALSE
P-0015828-T01-IM6_P-0015828-N01	0.63794974500996	2.01429097570801	62	0.908769529022694	TRUE
P-0015852-T01-IM6_P-0015852-N01	0.586557755180526	3.34766726345597	42	0.93722261153936	FALSE
P-0015852-T02-IM6_P-0015852-N01	0.31985359554151	2.9061648242259	39	0.923494741708078	FALSE
P-0015865-T01-IM6_P-0015865-N01	0.313558891951645	2	33	0.871891027408592	TRUE
P-0015865-T02-IM6_P-0015865-N01	NA	2	39	0.856234027513458	FALSE
P-0016151-T01-IM6_P-0016151-N01	0.322960435479689	2.56609530303034	69	0.904837973528069	TRUE
P-0016151-T02-IM6_P-0016151-N01	0.280228525231615	2.66040922370183	49	0.891576454668471	FALSE
P-0016484-T01-IM6_P-0016484-N01	NA	2	26	0.821446031832256	FALSE
P-0016484-T03-IM6_P-0016484-N01	0.3	2	28	0.819717544812602	FALSE
P-0016638-T01-IM6_P-0016638-N01	0.776548877593075	2.00748214489553	31	0.879596977329975	TRUE
P-0016732-T02-IM6_P-0016732-N01	0.584611540303332	2.75413481620551	70	0.66792072912251	FALSE
P-0017112-T02-IM6_P-0017112-N01	0.726271010339359	2.48618525393461	66	0.823277729636049	TRUE
P-0019974-T01-IM6_P-0019974-N01	0.160161897651126	1.93432244736021	27	0.742887787936054	TRUE
P-0020544-T01-IM6_P-0020544-N01	0.29832670208515	2.12479781280437	47	0.71475800769606	TRUE
P-0020545-T01-IM6_P-0020545-N01	0.278012087915572	2.31328282812392	26	0.65592057560377	TRUE
P-0020575-T01-IM6_P-0020575-N01	0.571135990835667	2.07880578051247	44	0.735561655632704	TRUE
P-0020593-T01-IM6_P-0020593-N01	0.287918235163529	3.2992481144798	50	0.753694326754159	FALSE
P-0020617-T01-IM6_P-0020617-N01	0.206261477234614	2.02333814266532	28	0.749807306921535	TRUE
P-0020644-T01-IM6_P-0020644-N01	0.349477640933399	2.69621426391782	32	0.667456258411844	FALSE
P-0020645-T01-IM6_P-0020645-N01	0.270188685470302	2.87698185551126	27	0.703422667097191	TRUE
P-0020648-T01-IM6_P-0020648-N01	0.201295920325069	2.00725961540372	39	0.8125	TRUE
P-0020673-T01-IM6_P-0020673-N01	0.842515635868322	2.80447525879554	68	0.772816046450251	TRUE
P-0020727-T01-IM6_P-0020727-N01	0.277549385278222	2.00174350424513	26	0.729387342311173	TRUE
P-0020730-T01-IM6_P-0020730-N01	0.290730494326638	2.20961312445267	42	0.732716701902748	TRUE
P-0020762-T01-IM6_P-0020762-N01	0.70474933989543	1.82746193455023	51	0.719227548670714	TRUE
P-0020851-T01-IM6_P-0020851-N01	0.681289483802872	3.4034809233017	35	0.656011604168905	FALSE
P-0020951-T01-IM6_P-0020951-N01	0.314829299824433	3.13037855214124	63	0.751192735853896	FALSE
P-0021040-T01-IM6_P-0021040-N01	0.22566447673489	2.17482993106349	27	0.677306515085265	TRUE
P-0021048-T01-IM6_P-0021048-N01	0.414368529258372	2.09676019751602	27	0.769783795130143	TRUE
P-0021052-T01-IM6_P-0021052-N01	0.3	2.0885893660093	26	0.794691397505596	FALSE
P-0021095-T01-IM6_P-0021095-N01	0.157794309969677	2.04168224728051	28	0.790493991989319	TRUE
P-0021103-T01-IM6_P-0021103-N01	0.622669176077917	2.07747206874369	37	0.73509460906819	TRUE
P-0021148-T01-IM6_P-0021148-N01	0.239911738987347	2.82942779069002	30	0.784416270470153	FALSE
P-0021173-T01-IM6_P-0021173-N01	0.332140527492989	2.30101609428079	43	0.70738391271251	TRUE
P-0021218-T01-IM6_P-0021218-N01	0.164610983607802	4.82854105009166	25	0.723073060507155	FALSE
P-0021225-T01-IM6_P-0021225-N01	NA	2	26	0.723568615571039	FALSE
P-0021238-T01-IM6_P-0021238-N01	0.726996446733219	2.08665453438017	29	0.694052518126592	TRUE
P-0023442-T01-IM6_P-0023442-N01	0.287685807917752	2.02762174114684	26	0.807793462508722	TRUE
P-0023453-T01-IM6_P-0023453-N01	0.285557028099154	3.02925607182368	62	0.709901187743288	FALSE
P-0024139-T01-IM6_P-0024139-N01	0.310187168916643	2.11341381832388	28	0.753785725360484	TRUE
P-0024637-T01-IM6_P-0024637-N01	0.682625943307157	3.7663200680578	38	0.643911695283936	FALSE
P-0030979-T02-IM6_P-0030979-N01	0.712289062221505	4.02583187179183	78	0.807953077916487	FALSE
P-0033290-T01-IM6_P-0033290-N01	0.581907785033577	1.97174650153225	40	0.810418584502085	TRUE
P-0033322-T01-IM6_P-0033322-N01	0.719169927843885	2.60822992757133	79	0.644147682639434	TRUE
P-0033684-T01-IM6_P-0033684-N01	0.285023637236322	4.15420995922211	30	0.662573512114797	FALSE
P-0035909-T01-IM6_P-0035909-N01	0.704082404282647	1.9643744889646	40	0.690092109751937	TRUE
P-0036178-T01-IM6_P-0036178-N01	0.733885102219771	3.67455717894526	34	0.633450495275483	FALSE
P-0038760-T01-IM6_P-0038760-N01	0.281004174232383	2.78705969583021	30	0.590231362467866	TRUE
