sample	facets_dlrs	dryclean_dlrs
P-0000131-T02-IM6	3.75016219295214	0.209015972743131
P-0001396-T04-IM6	3.14197425322032	0.203424653667326
P-0001939-T03-IM6	4.11738284909511	0.231181103895183
P-0002713-T02-IM6	3.0724114687016	0.135261717606318
P-0003185-T02-IM6	4.96043095188854	0.176003622303165
P-0003581-T02-IM6	3.47162515515229	0.611499062236076
P-0003581-T04-IM6	3.47999701303837	0.146176511696051
P-0003866-T06-IM6	2.95482310061484	0.11931398336557
P-0004768-T02-IM6	4.30007113675405	0.263321308886021
P-0004896-T02-IM6	4.26783660954345	0.174067695828126
P-0005631-T02-IM6	4.13581281126335	0.171488607252604
P-0006169-T02-IM6	3.35485423553102	0.129748853365626
P-0006249-T02-IM6	3.71564515433661	0.21565745886294
P-0006376-T03-IM6	3.24761045141623	0.132357566695511
P-0006609-T02-IM6	4.11583869362918	0.36950183130054
P-0006741-T02-IM6	3.35537812243265	0.135305710217476
P-0006741-T03-IM6	3.16648559947255	0.156335455991537
P-0006908-T03-IM6	2.92345985596371	0.152180672757857
P-0007231-T02-IM6	4.09825198452786	0.204368489137594
P-0008712-T02-IM6	4.12348828526687	0.189464060550342
P-0009001-T02-IM6	2.91722850409779	0.179668631975166
P-0009014-T02-IM6	3.26500047629543	0.153134228109868
P-0009014-T03-IM6	3.28607855318014	0.186660268559333
P-0009364-T02-IM6	3.08527698634709	0.152991701775097
P-0009406-T03-IM6	3.06070789243937	0.148251650449207
P-0009432-T02-IM6	3.87840603984789	0.193412503659529
P-0011015-T02-IM6	3.55876071972968	0.502183274423033
P-0011113-T02-IM6	3.27587545354517	0.372542018525622
P-0012081-T02-IM6	3.11310260738654	0.200014841848152
P-0012824-T03-IM6	3.87236481274285	0.190639183635302
P-0012985-T02-IM6	3.59830242127774	0.243446213858157
P-0013182-T02-IM6	2.95557191177483	0.233774157299205
P-0013280-T02-IM6	3.56008384870646	0.533283819428004
P-0013345-T02-IM6	4.03964742753298	0.262238992101312
P-0014129-T03-IM6	3.23394380404712	0.153988907270439
P-0014200-T01-IM6	3.64590408901932	0.199784685713725
P-0014219-T01-IM6	3.32855260247503	0.193202593128872
P-0014244-T01-IM6	3.28976930696653	0.227516646645662
P-0014259-T01-IM6	3.2645079165647	0.18788643422214
P-0014267-T01-IM6	3.44327843295392	0.300792067965523
P-0014273-T01-IM6	3.41246774439737	0.173115127697834
P-0014283-T01-IM6	3.6445693241901	0.2384528010181
P-0014364-T01-IM6	3.16966026316184	0.356663405876663
P-0014368-T01-IM6	3.36835965203263	0.140904046212653
P-0014431-T01-IM6	3.14049353185526	0.188906113200636
P-0014434-T01-IM6	3.47389107757703	0.158228728837729
P-0014434-T02-IM6	3.58098243271886	0.554389159566441
P-0014434-T03-IM6	3.42131596961541	0.203691488943703
P-0014455-T02-IM6	3.50964431874118	0.179516950430787
P-0014468-T01-IM6	3.16379034006146	0.177915134505914
P-0014477-T01-IM6	3.2022304272432	0.131114525591949
P-0014477-T02-IM6	3.45031853780014	0.350493842844234
